Time (ms),RMS Speed (m/s)
14349.999999999343,0.31693387
14354.16666666601,0.6788695
14370.833333332674,0.8565519
14391.666666666004,0.7746433
14424.999999999332,0.9076128
14445.833333332663,1.0403082
14449.999999999329,0.8483989
14466.666666665993,1.2158033
14483.333333332657,0.9154922
14516.666666665986,0.7892791
14520.833333332652,0.5487329
14529.166666665984,0.6639833
14537.499999999316,0.6187651
14549.999999999314,0.85552514
14554.16666666598,0.8469805
14570.833333332645,0.8991911
14591.666666665975,0.42851555
14608.333333332639,0.48564103
14616.666666665971,0.88457245
14633.333333332635,0.7520356
14649.9999999993,1.0327911
14666.666666665964,0.61507714
14687.499999999294,0.88473564
14737.499999999287,0.8453137
14749.999999999285,0.54333943
14804.166666665944,0.8204515
14808.33333333261,0.576142
14816.666666665942,0.6202248
14854.166666665937,0.7130239
14883.333333332599,0.97818303
14887.499999999265,0.2439862
14899.999999999263,0.75620013
14920.833333332594,0.44037724
14949.999999999256,0.455587
14958.333333332588,0.8708353
14966.66666666592,0.97770345
14979.166666665918,0.99742407
14987.49999999925,0.8194607
14991.666666665917,0.6437259
15008.33333333258,0.20665763
15012.499999999247,0.41811287
15016.666666665913,0.33546415
15062.49999999924,0.9501459
15070.833333332572,0.62198085
15133.333333332563,1.1472582
15141.666666665895,0.6090759
15162.499999999225,0.6400756
15166.666666665891,0.2678732
15187.499999999221,0.9698326
15208.333333332552,0.6834468
15212.499999999218,0.75767523
15220.83333333255,0.24834545
15245.833333332546,0.8142763
15249.999999999212,0.7425288
15254.166666665878,0.9135939
15295.833333332539,0.72624505
15316.66666666587,0.55038846
15333.333333332534,1.0096991
15387.499999999192,0.19748837
15391.666666665858,0.77178687
15399.99999999919,0.52808356
15416.666666665855,0.79466045
15424.999999999187,0.730659
15437.499999999185,0.9871555
15454.16666666585,0.950286
15479.166666665846,0.75353587
15520.833333332506,0.6923091
15562.499999999167,0.6091944
15616.666666665826,0.714781
15637.499999999156,0.60188776
15641.666666665822,0.59980524
15658.333333332486,0.54282606
15687.499999999149,0.18062335
15691.666666665815,0.888927
15695.83333333248,0.53790677
15704.166666665813,0.89906013
15749.99999999914,0.68927276
15787.499999999134,0.74549764
15808.333333332464,0.84431046
15862.499999999123,0.7604864
15870.833333332455,0.8281731
15887.49999999912,0.6572783
15891.666666665786,0.5956907
15908.33333333245,0.95396334
15958.333333332443,0.79998493
15974.999999999107,0.15467215
15987.499999999105,0.9058798
16049.999999999096,0.5129981
16095.833333332423,0.619081
16112.499999999087,0.45288858
16124.999999999085,0.71290475
16137.499999999083,0.8174837
16141.66666666575,0.7177944
16149.999999999081,0.481665
16170.833333332412,0.65556777
16179.166666665744,0.7254124
